Flow ID,Flow status,Flow date,Amount (USD),Source Organization,Source Location,Destination Organization,Destination Location
152844,Commitment,27/10/2014,635019,"Belgium, Government of",Belgium,,
122311,Commitment,27/11/2014,4368941,"Germany, Government of",Germany,Deutsche Welthungerhilfe e.V. (German Agro Action),Sierra Leone
122515,Commitment,27/11/2014,252207,"Greece, Government of",Greece,World Health Organization,
122468,Paid Contribution,27/11/2014,147000,Private (individuals & organizations),,Private (individuals & organizations),Liberia
122471,Paid Contribution,27/11/2014,100000,Citigroup,,Centers for Disease Control Foundation,Sierra Leone
122480,Paid Contribution,27/11/2014,2985234,Bill and Melinda Gates Foundation,,World Health Organization,
122481,Paid Contribution,27/11/2014,3000000,Bill and Melinda Gates Foundation,,International Federation of Red Cross and Red Crescent Societies,
122483,Paid Contribution,27/11/2014,3000000,Bill and Melinda Gates Foundation,,Centers for Disease Control Foundation,Liberia
122484,Paid Contribution,27/11/2014,1000000,Bill and Melinda Gates Foundation,,International Medical Corps,Liberia
122486,Paid Contribution,27/11/2014,500000,Bill and Melinda Gates Foundation,,Alliance for International Medical Action,Guinea
122490,Paid Contribution,27/11/2014,30000,Private (individuals & organizations),,Liberian Red Cross Society,Liberia
122511,Paid Contribution,27/11/2014,37831,"Greece, Government of",Greece,World Food Programme,Guinea
123274,Paid Contribution,27/11/2014,1726295,UNICEF National Committee/Netherlands,,United Nations Children's Fund,Liberia
123659,Paid Contribution,27/11/2014,3240000,"Sweden, Government of",Sweden,United Nations Children's Fund,Guinea
123665,Paid Contribution,27/11/2014,3240000,"Sweden, Government of",Sweden,United Nations Children's Fund,Liberia
123671,Paid Contribution,27/11/2014,828740,"Sweden, Government of",Sweden,United Nations Children's Fund,Mali
123676,Paid Contribution,27/11/2014,3240000,"Sweden, Government of",Sweden,United Nations Children's Fund,Sierra Leone
123677,Paid Contribution,27/11/2014,1620000,"Sweden, Government of",Sweden,United Nations Children's Fund,
124075,Commitment,28/01/2015,945690,"United States of America, Government of",United States,ACT Alliance / Christian Aid,Sierra Leone
124076,Commitment,28/01/2015,690646,"United States of America, Government of",United States,OXFAM GB,Sierra Leone
124077,Commitment,28/01/2015,5000400,"United States of America, Government of",United States,United Nations Children's Fund,Guinea
124165,Pledge,28/01/2015,2000000,"Russian Federation, Government of",Russian Federation,World Health Organization,
124166,Pledge,28/01/2015,2000000,"Russian Federation, Government of",Russian Federation,United Nations Children's Fund,
124167,Pledge,28/01/2015,3000000,"Russian Federation, Government of",Russian Federation,World Bank,
124168,Pledge,28/01/2015,1000000,"Russian Federation, Government of",Russian Federation,Ebola Response Multi-Partner Trust Fund,
124074,Paid Contribution,28/01/2015,3492720,"United States of America, Government of",United States,United Nations Children's Fund,Liberia
124379,Paid Contribution,28/01/2015,118687,UNICEF National Committee/Canada,,United Nations Children's Fund,
125689,Paid Contribution,28/01/2015,2427910,World Bank,,World Food Programme,Guinea
128674,Paid Contribution,28/02/2015,73054,Private (individuals & organizations),,World Food Programme,
128677,Paid Contribution,28/02/2015,136,Private (individuals & organizations),,World Food Programme,
128067,Commitment,28/04/2015,558504,"United States of America, Government of",United States,Tufts University,
129762,Paid Contribution,28/05/2015,1310000,"United States of America, Government of",United States,International Organization for Migration,Sierra Leone
129757,Commitment,28/05/2015,8999973,"United States of America, Government of",United States,Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,Liberia
129758,Commitment,28/05/2015,9000000,"United States of America, Government of",United States,Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,Sierra Leone
129760,Commitment,28/05/2015,2495348,"United States of America, Government of",United States,Famine Early Warning Sytem,
133463,Paid Contribution,28/06/2014,250793,Start Fund,,ACT Alliance / Christian Aid,Sierra Leone
133464,Paid Contribution,28/06/2014,78930,Start Fund,,Concern Worldwide,Sierra Leone
133465,Paid Contribution,28/06/2014,50167,Start Fund,,Save the Children,Sierra Leone
133466,Paid Contribution,28/06/2014,90370,Start Fund,,ActionAid,Sierra Leone
118955,Paid Contribution,28/08/2014,150000,"Japan, Government of",Japan,International Federation of Red Cross and Red Crescent Societies,Guinea
